,JD,Body,RA,Dec,Az,Alt,Dist,Dist_Sun,Const
0,2269653.5,Pluto,19.688508333333335,-21.428,310.5781944444444,-67.5705,34.873,30.089,Sgr
1,2269693.504746258,Pluto,16.189222222222224,-8.831750000000001,104.3818611111111,3.5720555555555555,30.288,30.1,Oph
2,2269733.5094925156,Pluto,16.198608333333333,-7.015361111111111,135.30575000000002,31.526833333333332,29.643,30.11,Oph
3,2269773.5142387734,Pluto,16.154597222222222,-7.269472222222222,185.98424999999997,43.12163888888889,29.206,30.121,Oph
4,2269813.518985031,Pluto,16.085366666666665,-7.426611111111112,233.28969444444445,26.380277777777778,29.179,30.132,Oph
5,2269853.523731289,Pluto,16.031219444444442,-7.366777777777777,262.29347222222225,-3.8355555555555556,29.574,30.143,Oph
6,2269893.5284775468,Pluto,16.031219444444442,-7.366777777777777,262.29347222222225,-3.8355555555555556,29.574,30.154,Oph
7,2269933.5332238046,Pluto,16.02356111111111,-7.0754166666666665,289.37558333333334,-35.56555555555556,30.214,30.166,Oph
8,2269973.5379700623,Pluto,16.07136111111111,-8.6425,340.38941666666665,-59.949250000000006,30.821,30.177,Oph
9,2270013.54271632,Pluto,16.160224999999997,-8.214666666666666,51.5825,-49.00802777777778,31.134,30.189,Oph
10,2270053.547462578,Pluto,16.331983333333334,-9.8735,110.31983333333334,8.944027777777778,30.513,30.2,Oph
11,2270093.5522088357,Pluto,16.352205555555557,-8.017027777777777,143.93575,34.73088888888889,29.862,30.212,Oph
12,2270133.5569550935,Pluto,16.316519444444445,-8.25063888888889,196.054,40.93277777777777,29.365,30.224,Oph
13,2270173.5617013513,Pluto,16.24885,-8.418583333333334,238.85541666666666,20.53222222222222,29.253,30.236,Oph
14,2270213.566447609,Pluto,16.18885277777778,-8.396138888888888,266.2934166666667,-9.059166666666666,29.577,30.249,Oph
15,2270253.571193867,Pluto,16.171058333333335,-8.151194444444444,295.44875,-41.08244444444445,30.193,30.261,Oph
16,2270293.5759401247,Pluto,16.20912222222222,-9.753611111111113,356.64255555555553,-61.77411111111111,30.832,30.274,Oph
17,2270333.5806863825,Pluto,16.29256666666667,-9.337194444444444,61.63627777777778,-45.800333333333334,31.219,30.286,Oph
18,2270373.5854326403,Pluto,16.39255,-9.03963888888889,91.40802777777779,-15.816722222222223,31.184,30.299,Oph
19,2270413.590178898,Pluto,16.47273611111111,-10.945527777777777,116.55205555555555,14.167527777777778,30.743,30.312,Oph
20,2270453.594925156,Pluto,16.503675,-9.05,153.24391666666665,37.131083333333336,30.097,30.325,Oph
21,2270493.5996714137,Pluto,16.477180555555552,-9.259166666666667,205.27097222222224,37.797444444444444,29.55,30.338,Oph
