,JD,Body,RA,Dec,Az,Alt,Dist,Dist_Sun,Const
0,2269653.5,Pluto,22.743819444444444,-20.115583333333333,270.59666666666664,-37.96475,41.739,30.089,Aqr
1,2269653.5,Sun,18.709083333333332,-22.854583333333334,59.08602777777778,-64.4115,0.983,0.0,Sgr
2,2269673.5023731287,Pluto,16.124647222222222,-8.85075,79.22225,-27.980027777777778,30.84,30.094,Oph
3,2269673.5023731287,Sun,20.155977777777775,-19.82188888888889,52.407666666666664,-63.79036111111111,0.985,0.0,Cap
4,2269693.5047462573,Pluto,16.162866666666666,-8.810888888888888,92.08219444444444,-11.64161111111111,30.595,30.1,Oph
5,2269693.5047462573,Sun,21.521141666666665,-13.271194444444445,45.30625,-58.11408333333333,0.988,0.0,Cap
6,2269713.507119386,Pluto,16.189222222222224,-8.831750000000001,104.3818611111111,3.5720555555555555,30.288,30.105,Oph
7,2269713.507119386,Sun,22.800694444444446,-6.348,40.331027777777784,-52.78133333333333,0.993,0.0,Aqr
8,2269733.5094925147,Pluto,16.20138611111111,-8.90475,118.07836111111111,18.422833333333333,29.958,30.11,Oph
9,2269733.5094925147,Sun,0.023566666666666666,0.1519722222222222,37.35194444444445,-44.66061111111111,0.999,0.0,Psc
10,2269753.5118656433,Pluto,16.198608333333333,-7.015361111111111,135.30575000000002,31.526833333333332,29.643,30.116,Oph
11,2269753.5118656433,Sun,1.2329583333333334,7.853222222222222,35.38858333333333,-36.59852777777778,1.004,0.0,Psc
12,2269773.514238772,Pluto,16.182047222222224,-7.1441944444444445,158.1976388888889,40.690999999999995,29.382,30.121,Oph
13,2269773.514238772,Sun,2.4713194444444446,14.68886111111111,33.72677777777778,-29.573416666666667,1.01,0.0,Ari
14,2269793.5166119006,Pluto,16.154597222222222,-7.269472222222222,185.98424999999997,43.12163888888889,29.206,30.127,Oph
15,2269793.5166119006,Sun,3.76665,19.933083333333336,32.162194444444445,-24.747722222222222,1.014,0.0,Tau
16,2269813.5189850293,Pluto,16.12065,-7.36975,212.52033333333335,37.685027777777776,29.136,30.132,Oph
17,2269813.5189850293,Sun,5.1208222222222215,22.948944444444443,30.93563888888889,-21.557444444444446,1.016,0.0,Tau
18,2269833.521358158,Pluto,16.085366666666665,-7.426611111111112,233.28969444444445,26.380277777777778,29.179,30.138,Oph
19,2269833.521358158,Sun,6.5044361111111115,23.32113888888889,30.59461111111111,-21.817666666666664,1.017,0.0,Gem
20,2269853.5237312866,Pluto,16.05401388888889,-7.427527777777778,249.1078611111111,11.895111111111111,29.331,30.143,Oph
21,2269853.5237312866,Sun,7.868997222222223,21.00025,31.799583333333334,-23.775833333333335,1.016,0.0,Cnc
22,2269873.5261044153,Pluto,16.031219444444442,-7.366777777777777,262.29347222222225,-3.8355555555555556,29.574,30.149,Oph
23,2269873.5261044153,Sun,9.177419444444444,16.325833333333332,35.07002777777778,-26.030416666666667,1.013,0.0,Leo
24,2269893.528477544,Pluto,16.020425,-7.246527777777778,274.9546388888889,-19.46044444444444,29.879,30.154,Oph
25,2269893.528477544,Sun,10.42423611111111,9.890472222222222,40.59941666666667,-31.344055555555556,1.008,0.0,Leo
26,2269913.5308506726,Pluto,16.02356111111111,-7.0754166666666665,289.37558333333334,-35.56555555555556,30.214,30.16,Oph
27,2269913.5308506726,Sun,11.632016666666667,2.3944444444444444,48.162,-36.45294444444445,1.003,0.0,Vir
28,2269933.5332238013,Pluto,16.040925,-8.868138888888888,309.2306111111111,-49.43405555555556,30.54,30.166,Oph
29,2269933.5332238013,Sun,12.839986111111111,-4.579305555555555,57.027277777777776,-41.88919444444444,0.997,0.0,Vir
30,2269953.53559693,Pluto,16.07136111111111,-8.6425,340.38941666666665,-59.949250000000006,30.821,30.171,Oph
31,2269953.53559693,Sun,14.092886111111111,-11.233611111111111,65.95297222222223,-45.880472222222224,0.992,0.0,Lib
32,2269973.5379700586,Pluto,16.112319444444445,-8.418333333333333,20.496944444444445,-59.84202777777778,31.027,30.177,Oph
33,2269973.5379700586,Sun,15.426511111111111,-17.226055555555558,73.35236111111111,-48.44991666666667,0.987,0.0,Lib
34,2269993.5403431873,Pluto,16.160224999999997,-8.214666666666666,51.5825,-49.00802777777778,31.134,30.183,Oph
35,2269993.5403431873,Sun,16.84881111111111,-21.444388888888888,77.59233333333333,-51.67805555555555,0.984,0.0,Oph
36,2270013.542716316,Pluto,16.21071388888889,-8.048583333333333,71.30538888888888,-36.62627777777778,31.13,30.189,Oph
37,2270013.542716316,Sun,18.325016666666667,-22.56908333333333,77.48786111111112,-53.98722222222222,0.983,0.0,Sgr
38,2270033.5450894446,Pluto,16.259141666666668,-9.932638888888889,85.5045,-21.851472222222224,31.014,30.195,Oph
39,2270033.5450894446,Sun,19.786855555555558,-20.782194444444446,73.18380555555557,-52.20502777777778,0.984,0.0,Cap
40,2270053.5474625733,Pluto,16.300883333333335,-9.874027777777778,97.78872222222222,-5.498583333333333,30.8,30.2,Oph
41,2270053.5474625733,Sun,21.175408333333333,-15.66225,66.67797222222222,-49.05572222222222,0.987,0.0,Cap
42,2270073.549835702,Pluto,16.331983333333334,-9.8735,110.31983333333334,8.944027777777778,30.513,30.206,Oph
43,2270073.549835702,Sun,22.475169444444443,-8.402944444444444,60.41855555555556,-44.461444444444446,0.992,0.0,Aqr
44,2270093.5522088306,Pluto,16.349527777777777,-9.925138888888888,124.99336111111111,23.090444444444444,30.187,30.212,Oph
45,2270093.5522088306,Sun,23.708877777777776,-0.10150000000000003,55.497416666666666,-37.54416666666666,0.997,0.0,Psc
46,2270113.5545819593,Pluto,16.352205555555557,-8.017027777777777,143.93575,34.73088888888889,29.862,30.218,Oph
47,2270113.5545819593,Sun,0.9173638888888889,5.904583333333334,51.755944444444445,-29.1205,1.003,0.0,Psc
48,2270133.556955088,Pluto,16.340438888888887,-8.132055555555555,168.54805555555555,41.48252777777778,29.577,30.224,Oph
49,2270133.556955088,Sun,2.1444916666666667,13.035416666666666,48.71275,-22.056694444444446,1.008,0.0,Ari
50,2270153.5593282166,Pluto,16.316519444444445,-8.25063888888889,196.054,40.93277777777777,29.365,30.23,Oph
51,2270153.5593282166,Sun,3.4235944444444444,18.7605,46.140972222222224,-17.423861111111112,1.013,0.0,Tau
52,2270173.5617013453,Pluto,16.28433888888889,-8.352194444444445,220.25144444444445,33.142472222222224,29.253,30.236,Oph
53,2270173.5617013453,Sun,4.764163888888889,22.40811111111111,44.22477777777778,-14.60725,1.016,0.0,Tau
54,2270193.564074474,Pluto,16.24885,-8.418583333333334,238.85541666666666,20.53222222222222,29.253,30.243,Oph
55,2270193.564074474,Sun,6.144388888888889,23.489305555555557,43.45875,-13.405083333333332,1.017,0.0,Gem
56,2270213.5664476026,Pluto,16.215380555555555,-8.435666666666666,253.4735,5.473638888888889,29.366,30.249,Oph
57,2270213.5664476026,Sun,7.518580555555555,21.849916666666665,44.432916666666664,-14.061194444444444,1.016,0.0,Cnc
58,2270233.5688207312,Pluto,16.18885277777778,-8.396138888888888,266.2934166666667,-9.059166666666666,29.577,30.255,Oph
59,2270233.5688207312,Sun,8.843686111111111,17.73686111111111,47.575750000000006,-17.171666666666667,1.014,0.0,Cnc
60,2270253.57119386,Pluto,16.173244444444446,-8.299194444444446,279.3859444444444,-26.656916666666667,29.864,30.261,Oph
61,2270253.57119386,Sun,10.105202777777777,11.694861111111111,52.949749999999995,-21.459777777777777,1.009,0.0,Leo
62,2270273.5735669886,Pluto,16.171058333333335,-8.151194444444444,295.44875,-41.08244444444445,30.193,30.267,Oph
63,2270273.5735669886,Sun,11.319883333333333,4.403916666666667,60.18347222222222,-25.552555555555557,1.004,0.0,Vir
64,2270293.5759401172,Pluto,16.183247222222224,-9.963888888888889,319.35619444444444,-54.104055555555554,30.528,30.274,Oph
65,2270293.5759401172,Sun,12.523597222222223,-2.597638888888889,68.49355555555556,-29.84191666666667,0.999,0.0,Vir
66,2270313.578313246,Pluto,16.20912222222222,-9.753611111111113,356.64255555555553,-61.77411111111111,30.832,30.28,Oph
67,2270313.578313246,Sun,13.760608333333334,-9.0505,76.76861111111111,-32.434916666666666,0.993,0.0,Vir
68,2270333.5806863746,Pluto,16.246658333333333,-9.538527777777778,35.779916666666665,-56.09902777777778,31.071,30.286,Oph
69,2270333.5806863746,Sun,15.070922222222222,-16.60827777777778,83.73313888888889,-35.29111111111111,0.988,0.0,Lib
70,2270353.583059503,Pluto,16.29256666666667,-9.337194444444444,61.63627777777778,-45.800333333333334,31.219,30.293,Oph
71,2270353.583059503,Sun,16.471741666666667,-20.168444444444443,88.15347222222223,-38.498916666666666,0.985,0.0,Oph
72,2270373.585432632,Pluto,16.342747222222222,-9.166472222222222,78.40325,-30.359916666666667,31.258,30.299,Oph
73,2270373.585432632,Sun,17.939569444444444,-22.49538888888889,89.11880555555555,-40.48786111111111,0.983,0.0,Sgr
74,2270393.5878057606,Pluto,16.39255,-9.03963888888889,91.40802777777779,-15.816722222222223,31.184,30.305,Oph
75,2270393.5878057606,Sun,19.412005555555552,-21.923444444444446,86.50980555555556,-40.035777777777774,0.984,0.0,Sgr
76,2270413.590178889,Pluto,16.437305555555557,-10.96525,103.48827777777778,0.11772222222222223,31.005,30.312,Oph
77,2270413.590178889,Sun,20.823213888888887,-16.178444444444445,81.39372222222222,-39.915166666666664,0.986,0.0,Cap
78,2270433.592552018,Pluto,16.47273611111111,-10.945527777777777,116.55205555555555,14.167527777777778,30.743,30.318,Oph
79,2270433.592552018,Sun,22.145038888888887,-10.522,75.51861111111111,-34.307638888888896,0.99,0.0,Aqr
80,2270453.5949251465,Pluto,16.49550277777778,-10.977055555555555,132.48708333333332,27.302444444444443,30.427,30.325,Oph
81,2270453.5949251465,Sun,23.392405555555555,-2.0567777777777776,70.13611111111112,-28.6025,0.996,0.0,Psc
82,2270473.597298275,Pluto,16.503675,-9.05,153.24391666666665,37.131083333333336,30.097,30.331,Oph
83,2270473.597298275,Sun,0.6033222222222222,3.9116388888888887,65.58177777777777,-21.723833333333335,1.001,0.0,Psc
84,2270493.599671404,Pluto,16.497019444444444,-9.150027777777778,178.982,41.17983333333333,29.793,30.338,Oph
85,2270493.599671404,Sun,1.8217583333333334,11.289138888888889,61.705222222222226,-14.517444444444445,1.007,0.0,Ari
86,2270513.6020445325,Pluto,16.477180555555552,-9.259166666666667,205.27097222222224,37.797444444444444,29.55,30.345,Oph
87,2270513.6020445325,Sun,3.085255555555556,17.447583333333334,58.389694444444444,-9.988222222222221,1.012,0.0,Tau
88,2270533.604417661,Pluto,16.44746388888889,-9.358638888888889,227.05544444444445,28.069694444444444,29.398,30.351,Oph
89,2270533.604417661,Sun,4.410872222222222,21.692694444444445,55.83997222222222,-5.462972222222223,1.015,0.0,Tau
90,2270553.60679079,Pluto,16.412530555555556,-9.430472222222223,243.85797222222223,14.452888888888888,29.355,30.358,Oph
