,JD,Body,RA,Dec,Dist,Dist_Sun
2,2269653.5,Sun,18.709083333333332,-22.854583333333334,0.983,0.0
5,2269673.5027382257,Sun,20.156002777777775,-19.82197222222222,0.985,0.0
8,2269693.5054764515,Sun,21.521191666666667,-13.271416666666667,0.988,0.0
11,2269713.508214677,Sun,22.80076388888889,-6.348388888888889,0.993,0.0
14,2269733.510952903,Sun,0.023655555555555555,0.15255555555555556,0.999,0.0
17,2269753.5136911287,Sun,1.2330694444444446,7.853888888888888,1.004,0.0
20,2269773.5164293544,Sun,2.4714583333333335,14.689527777777778,1.01,0.0
23,2269793.51916758,Sun,3.7668194444444443,19.93363888888889,1.014,0.0
26,2269813.521905806,Sun,5.121027777777777,22.94922222222222,1.016,0.0
29,2269833.5246440317,Sun,6.504666666666667,23.321,1.017,0.0
32,2269853.5273822574,Sun,7.869244444444445,20.99961111111111,1.016,0.0
35,2269873.530120483,Sun,9.177677777777777,16.324694444444443,1.013,0.0
38,2269893.532858709,Sun,10.424505555555555,9.888916666666667,1.008,0.0
41,2269913.5355969346,Sun,11.632302777777777,2.3925833333333335,1.003,0.0
44,2269933.5383351604,Sun,12.840300000000001,-4.577333333333333,0.997,0.0
47,2269953.541073386,Sun,14.093244444444444,-11.23172222222222,0.992,0.0
50,2269973.543811612,Sun,15.426916666666665,-17.224583333333335,0.987,0.0
53,2269993.5465498376,Sun,16.849266666666665,-21.44361111111111,0.984,0.0
56,2270013.5492880633,Sun,18.32550833333333,-22.569277777777778,0.983,0.0
59,2270033.552026289,Sun,19.787358333333334,-20.783444444444445,0.984,0.0
62,2270053.554764515,Sun,21.17590277777778,-15.664388888888888,0.987,0.0
65,2270073.5575027405,Sun,22.475655555555555,-8.40575,0.992,0.0
68,2270093.5602409663,Sun,23.709369444444444,-0.1046666666666667,0.997,0.0
71,2270113.562979192,Sun,0.9178777777777778,5.9077777777777785,1.003,0.0
74,2270133.5657174177,Sun,2.1450416666666667,13.038305555555555,1.008,0.0
77,2270153.5684556435,Sun,3.424197222222222,18.762722222222223,1.013,0.0
80,2270173.571193869,Sun,4.7648166666666665,22.409277777777778,1.016,0.0
83,2270193.573932095,Sun,6.145075,23.489194444444447,1.017,0.0
86,2270213.5766703207,Sun,7.519277777777778,21.848444444444443,1.016,0.0
89,2270233.5794085464,Sun,8.844377777777778,17.734166666666667,1.014,0.0
92,2270253.582146772,Sun,10.105883333333333,11.691166666666668,1.009,0.0
95,2270273.584884998,Sun,11.320566666666666,4.399583333333334,1.004,0.0
98,2270293.5876232237,Sun,12.524311111111112,-2.5930833333333334,0.999,0.0
101,2270313.5903614494,Sun,13.761377777777778,-9.046194444444446,0.993,0.0
104,2270333.593099675,Sun,15.071766666666667,-16.604777777777777,0.988,0.0
107,2270353.595837901,Sun,16.472669444444442,-20.16636111111111,0.985,0.0
110,2270373.5985761266,Sun,17.94055,-22.49525,0.983,0.0
113,2270393.6013143524,Sun,19.412991666666667,-21.92538888888889,0.984,0.0
116,2270413.604052578,Sun,20.824169444444443,-16.182166666666667,0.986,0.0
119,2270433.606790804,Sun,22.145955555555556,-10.527027777777779,0.99,0.0
122,2270453.6095290296,Sun,23.393302777777777,-2.062472222222222,0.996,0.0
125,2270473.6122672553,Sun,0.6042305555555555,3.9174444444444445,1.001,0.0
128,2270493.615005481,Sun,1.8227111111111112,11.294444444444444,1.007,0.0
131,2270513.617743707,Sun,3.086277777777778,17.451805555555556,1.012,0.0
134,2270533.6204819325,Sun,4.411966666666667,21.69525,1.015,0.0
137,2270553.6232201583,Sun,5.785719444444444,23.471555555555554,1.017,0.0
140,2270573.625958384,Sun,7.166252777777778,22.52825,1.016,0.0
143,2270593.6286966098,Sun,8.50698888888889,19.011416666666666,1.014,0.0
146,2270613.6314348355,Sun,9.784480555555556,13.406333333333334,1.011,0.0
149,2270633.6341730612,Sun,11.008255555555555,6.370749999999999,1.006,0.0
152,2270653.636911287,Sun,12.210783333333332,-0.6249166666666667,1.0,0.0
155,2270673.6396495127,Sun,13.434872222222223,-8.932972222222222,0.994,0.0
158,2270693.6423877385,Sun,14.723072222222223,-14.120305555555555,0.989,0.0
161,2270713.645125964,Sun,16.100875000000002,-19.078305555555556,0.985,0.0
164,2270733.64786419,Sun,17.556147222222222,-22.634249999999998,0.983,0.0
167,2270753.6506024157,Sun,19.03428611111111,-21.260527777777778,0.983,0.0
170,2270773.6533406414,Sun,20.46610833333333,-18.8415,0.985,0.0
173,2270793.656078867,Sun,21.811255555555555,-12.72947222222222,0.989,0.0
176,2270813.658817093,Sun,23.07475277777778,-4.0415833333333335,0.994,0.0
179,2270833.6615553186,Sun,0.2910138888888889,1.8938055555555555,1.0,0.0
182,2270853.6642935444,Sun,1.503538888888889,9.468527777777778,1.006,0.0
185,2270873.66703177,Sun,2.752588888888889,16.011027777777777,1.011,0.0
188,2270893.669769996,Sun,4.062119444444444,20.81238888888889,1.014,0.0
191,2270913.6725082216,Sun,5.426619444444444,23.26822222222222,1.017,0.0
194,2270933.6752464473,Sun,6.81,23.03355555555556,1.017,0.0
